,Ash
Ash_Lag1,0.879073374157485
Ash_Lag2,0.8064866609162139
Future_Ash,0.7010417118447747
Machine_Speed,-0.5383708489032853
Machine_Speed_Lag1,-0.5353748261426301
Machine_Speed_RollingMean,-0.5343816269974717
Machine_Speed_Lag2,-0.5319442280406843
Filler_Flow,0.5297805449806569
Stock_x_Filler,0.48864848925481374
Basis_Weight_Lag1,0.4752268738163329
Basis_Weight_Lag2,0.4744640023102966
Basis_Weight,0.4743408529028378
Basis_Weight_RollingMean,0.4741799817665452
Caliper,0.47128221854632946
Caliper_Lag1,0.4684225877767341
Caliper_Lag2,0.46469328299140106
Future_Basis_Weight,0.46330612660461784
Steam_Pressure,0.4555989233709766
Steam_Pressure_Lag1,0.4524172402975548
Steam_Pressure_RollingMean,0.4521770832881511
Steam_Pressure_Lag2,0.44931613717062824
Speed_Deviation,-0.4352032086371474
Steam_Deviation,0.4338876702876371
Moisture_RollingMean,0.4237156104245964
Future_Moisture,0.41814169566756987
Moisture,0.40546492628240915
Moisture_Lag1,0.4028977188910547
Moisture_Lag2,0.3990213295142728
Stock_Flow_Lag2,0.3832769752011556
Stock_Flow_Lag1,0.38052768456600256
StockFlow_Deviation,0.3765186935362117
Headbox_Pressure,0.37496598684695104
Speed_per_Stock,-0.3742622742542322
Stock_Flow,0.3738976488131874
Moisture_per_BW,-0.3699720273940566
Ash_per_BW,-0.25367211055084804
BW_Error_Percent,0.23598085945570219
Distance_To_Lower,0.2359011849477359
BW_Error,0.229296951584001
Distance_To_Upper,-0.22279067313768533
BW_Lower_Limit,0.2047711302172828
BW_Upper_Limit,0.2047711302172812
Target_BW,0.20477113021728116
Steam_x_Speed,0.15100172598509326
Steam_per_Stock,0.13498035845037581
Basis_Weight_RollingStd,0.06052121255151628
Off_Spec,-0.04759331448152202
Near_OffSpec,-0.04265885273572984
Step,-0.04024075684385828
Transition_Progress,-0.04024075684385784
Stock_Flow_ROC,-0.039059669796558456
Stabilization_Time,0.03648325321136384
Moisture_RollingStd,0.03478649475129629
Machine_Speed_ROC,-0.02734578449371348
Future_OffSpec,-0.024041576767645866
Steam_Pressure_RollingStd,-0.021403309725491173
Steam_Pressure_ROC,0.019343940968595156
Machine_Speed_RollingStd,0.017878145576710518
Moisture_ROC,0.00485247300702673
Basis_Weight_ROC,-0.0006625172904483351
