,Basis_Weight
Basis_Weight_Lag1,0.9982963289253333
Basis_Weight_RollingMean,0.9967064120128765
Basis_Weight_Lag2,0.995320129778604
Caliper,0.9899520726064929
Stock_x_Filler,0.9883860738611536
Machine_Speed_RollingMean,-0.986073076867594
Machine_Speed,-0.9835780415778426
Machine_Speed_Lag1,-0.9831868313945257
Caliper_Lag1,0.9828187877096979
Machine_Speed_Lag2,-0.9826611928423814
Filler_Flow,0.9814710646195793
Steam_Pressure_RollingMean,0.9808761050063017
Headbox_Pressure,0.977226583033189
Stock_Flow,0.9771628212773507
Stock_Flow_Lag1,0.9767908840397029
Stock_Flow_Lag2,0.9765033037255211
Caliper_Lag2,0.9745241629989978
Steam_Pressure_Lag2,0.9743822282228284
Steam_Pressure_Lag1,0.973876355558521
Steam_Pressure,0.9731747063964051
Speed_per_Stock,-0.9678325773320102
Moisture_per_BW,-0.9671946703998999
Ash_per_BW,-0.9541342827779771
Future_Basis_Weight,0.94535627057092
Moisture_RollingMean,0.8481443556168602
Future_Moisture,0.839325740102741
Moisture,0.8250591258700293
Moisture_Lag1,0.8124855675490007
Moisture_Lag2,0.799047185458779
Steam_x_Speed,0.7538835603213918
Distance_To_Lower,0.673927242149622
BW_Error,0.6624651946589731
Distance_To_Upper,-0.6511124997042822
Speed_Deviation,-0.6064414699920042
BW_Error_Percent,0.6015175705815701
Steam_Deviation,0.5739327902938754
StockFlow_Deviation,0.5707367065867004
Steam_per_Stock,-0.5244838300435966
Ash_Lag2,0.47793638384832227
Ash_Lag1,0.4767798766088569
Ash,0.4743408529028378
Future_Ash,0.4549277584063873
BW_Lower_Limit,0.19735655531532062
Target_BW,0.19735655531531968
BW_Upper_Limit,0.19735655531531907
Future_OffSpec,0.16999060260065676
Off_Spec,0.15966389502769673
Near_OffSpec,0.15423564708161125
Basis_Weight_RollingStd,0.057981055011214325
Transition_Progress,-0.05397537760523174
Step,-0.0539753776052312
Basis_Weight_ROC,0.051230503028845506
Moisture_RollingStd,0.02837191999318287
Moisture_ROC,0.02757501654576853
Steam_Pressure_RollingStd,-0.015093061698851362
Machine_Speed_ROC,-0.010921689792143611
Machine_Speed_RollingStd,-0.01001340526292789
Stock_Flow_ROC,0.007800196730817875
Steam_Pressure_ROC,0.0016582027959592667
Stabilization_Time,-0.0004418707969223031
