Feature,Importance
Near_OffSpec,0.35388115
Alarm,0.32218498
Distance_To_Lower,0.07115679
BW_Error_Percent,0.059510738
Transition_Progress,0.025445767
BW_Error,0.016381007
StockFlow_Deviation,0.01357269
Filler_Flow,0.01219767
Steam_Deviation,0.011325162
Step,0.009699354
Steam_Pressure_Lag1,0.006967848
Distance_To_Upper,0.0063381754
Phase,0.0054247924
Caliper,0.0047863284
Steam_Pressure_Lag2,0.0045919577
Caliper_Lag2,0.0040619345
Machine_Speed_Lag2,0.0032705872
Steam_Pressure_RollingMean,0.0032321294
Speed_Deviation,0.0025829615
Machine_Speed_RollingMean,0.0024681203
Steam_Pressure,0.0023231031
Caliper_Lag1,0.002199557
Disturbance,0.0021855787
Machine_Speed,0.002155267
Basis_Weight_Lag2,0.0020511625
Scenario,0.0020418223
Ash_per_BW,0.0018641981
Basis_Weight,0.001844606
Ash,0.0018297271
Basis_Weight_RollingMean,0.0017962616
Stock_Flow_Lag2,0.0017933005
Moisture_Lag2,0.0017021996
Stock_Flow_ROC,0.0016781937
Moisture_per_BW,0.0016422871
Moisture_RollingStd,0.0016319606
Stock_Flow,0.0016248978
Ash_Lag2,0.001604148
Machine_Speed_Lag1,0.0015771913
Steam_x_Speed,0.0015752373
Moisture,0.001574789
Stabilization_Time,0.001572388
Moisture_RollingMean,0.0015671195
Basis_Weight_RollingStd,0.00156624
Steam_per_Stock,0.0015099731
Speed_per_Stock,0.0015077807
Basis_Weight_Lag1,0.0015075927
Ash_Lag1,0.001460695
Stock_Flow_Lag1,0.0014267573
Steam_Pressure_ROC,0.0014152139
Stock_x_Filler,0.0013953007
Machine_Speed_ROC,0.0013907437
Moisture_Lag1,0.0013542662
Machine_Speed_RollingStd,0.001336107
Headbox_Pressure,0.0013135071
Basis_Weight_ROC,0.0013118621
Steam_Pressure_RollingStd,0.0012971426
Moisture_ROC,0.0012917527
BW_Upper_Limit,0.0
BW_Lower_Limit,0.0
Target_BW,0.0
