Feature,Mutual_Information
Distance_To_Upper,6.7859892546548295
BW_Error_Percent,6.782637450362917
BW_Error,6.777368416147702
Distance_To_Lower,6.775365316849376
Basis_Weight_Lag1,3.018033817291743
Basis_Weight_RollingMean,2.8077356296836564
Basis_Weight_Lag2,2.6224063130383533
Speed_per_Stock,2.5201807547046045
Caliper,2.4971846962584854
Machine_Speed_RollingMean,2.3137686124053944
Stock_Flow,2.303380551895158
Caliper_Lag1,2.2662841503919804
Moisture_per_BW,2.2345901697883583
Stock_Flow_Lag1,2.218695065040138
Stock_x_Filler,2.215283229635748
Headbox_Pressure,2.205028980543444
Stock_Flow_Lag2,2.1853376113512617
Machine_Speed,2.151094559164462
Steam_Pressure_RollingMean,2.138638535816111
Machine_Speed_Lag1,2.1360302797685344
Machine_Speed_Lag2,2.11748768094584
Caliper_Lag2,2.103126529061705
Ash_per_BW,2.092303409717701
Steam_Pressure_Lag2,2.0839597810028962
Steam_Pressure_Lag1,2.05829505926458
Steam_Pressure,2.011333279704388
Filler_Flow,1.8428748414117235
StockFlow_Deviation,1.6894049856227644
Speed_Deviation,1.6808332589400452
Step,1.5956923015737008
Transition_Progress,1.5941373271762025
Steam_Deviation,1.546682711256783
Steam_x_Speed,1.1676636512512824
Steam_per_Stock,0.8138261160794134
Timestamp,0.7037557067691749
Moisture_RollingMean,0.698834027935141
Future_Moisture,0.6428970082110208
Moisture,0.592874205770781
Moisture_Lag1,0.572698241291512
Moisture_Lag2,0.5548783025114767
Phase,0.5251994411982848
Transition_ID,0.3869693608427083
Target_BW,0.38224367302904794
Recipe_ID,0.3814558718060779
To_Grade,0.38094716673994533
From_Grade,0.38010593826821526
BW_Lower_Limit,0.3798623148650717
BW_Upper_Limit,0.3797462161493088
Ash,0.33063163957223907
Ash_Lag2,0.3287638266697792
Ash_Lag1,0.32386015168469395
Future_Ash,0.3210845257760315
Operator_Action,0.2772132132696199
Suggested_Setpoint,0.27622187854876556
Alarm,0.27612986931545613
Steam_Pressure_RollingStd,0.22279702370744392
Machine_Speed_RollingStd,0.20028332540554317
Steam_Pressure_ROC,0.1685873018305326
Machine_Speed_ROC,0.1596412292661782
Stock_Flow_ROC,0.15378794559436582
Off_Spec,0.12418238010578087
Recommendation_Source,0.12202333041221092
Near_OffSpec,0.11986853029846434
Basis_Weight_RollingStd,0.08079506147004079
Basis_Weight_ROC,0.03811884374043384
Moisture_RollingStd,0.008037672429073162
Disturbance,0.0062628976304401895
Scenario,0.0
Stabilization_Time,0.0
Moisture_ROC,0.0
