Feature,Mutual_Information
Distance_To_Upper,6.7859892546548295
BW_Error_Percent,6.782637450362917
BW_Error,6.777368416147702
Distance_To_Lower,6.775365316849376
Basis_Weight_Lag1,3.018033817291743
Basis_Weight_RollingMean,2.8077356296836564
Basis_Weight_Lag2,2.6224063130383533
Speed_per_Stock,2.5201807547046045
Machine_Speed_RollingMean,2.3137686124053944
Caliper_Lag1,2.2662841503919804
Moisture_per_BW,2.2345901697883583
Stock_Flow_Lag1,2.218695065040138
Stock_x_Filler,2.215283229635748
Headbox_Pressure,2.205028980543444
Stock_Flow_Lag2,2.1853376113512617
