Feature,Importance
Stock_x_Filler,0.4781292
Speed_per_Stock,0.37359473
Filler_Flow,0.029182166
Steam_Pressure_RollingMean,0.025958052
Stock_Flow_Lag1,0.01885868
Stock_Flow_Lag2,0.00646363
Machine_Speed,0.006195858
Basis_Weight,0.005377688
Machine_Speed_Lag1,0.0053000087
Machine_Speed_RollingMean,0.0044835596
Transition_Progress,0.0037175168
Stock_Flow,0.0035488512
Phase,0.0027254836
Step,0.002655139
Basis_Weight_RollingMean,0.0023768763
Steam_Pressure_Lag1,0.0019959433
Moisture_RollingStd,0.0018099352
StockFlow_Deviation,0.0017049701
Steam_Deviation,0.0016963511
Speed_Deviation,0.0015448573
Steam_Pressure,0.001451876
Moisture_RollingMean,0.0014117319
Moisture_per_BW,0.0013307603
Basis_Weight_Lag1,0.0011249103
Disturbance,0.001118739
Moisture_Lag2,0.0010997971
BW_Error_Percent,0.0010126766
Basis_Weight_RollingStd,0.0009628515
Distance_To_Lower,0.00093840313
Target_BW,0.000931418
BW_Upper_Limit,0.0007634931
Distance_To_Upper,0.00074557983
Moisture_Lag1,0.00074100244
Caliper_Lag2,0.00073997775
Basis_Weight_Lag2,0.000718826
Caliper_Lag1,0.000638969
BW_Error,0.00061878766
Steam_Pressure_Lag2,0.0005983329
Moisture,0.000583414
Machine_Speed_Lag2,0.0005663722
Ash_Lag2,0.0005557147
Ash_Lag1,0.0004905229
Stabilization_Time,0.0004154183
Ash_per_BW,0.0004091288
Ash,0.00039758164
Caliper,0.0003436021
Moisture_ROC,0.00033766375
Basis_Weight_ROC,0.00032623246
Headbox_Pressure,0.00026630965
Scenario,0.00022469315
Machine_Speed_RollingStd,0.00021629165
Steam_Pressure_RollingStd,0.00011635211
BW_Lower_Limit,0.00011211328
Steam_per_Stock,7.211521e-05
Stock_Flow_ROC,6.4084394e-05
Machine_Speed_ROC,6.2795356e-05
Steam_x_Speed,5.898073e-05
Alarm,5.8110247e-05
Near_OffSpec,2.914513e-05
Steam_Pressure_ROC,2.5685073e-05
Off_Spec,0.0
